Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,BRK-B,JPM,JNJ,V,PEP,XOM,PG,AVGO,COST,HD,BAC,LLY,CVX,KO,MRK,WMT,PFE,ORCL,ADBE,CSCO,DIS,NFLX,CRM
2025-05-28,,,,,,,,,,359.09814453125,,,,,,,,,,,,,,,,,,,
2025-05-29,,,,,,,,,,361.763427734375,,,,,,,,,,,,,,,,,,,
2025-05-30,,,,,,,,,,364.5485534667969,,,,,,,,,,,,,,,,,,,
2025-06-02,,,,,,,,,,364.6783142089844,,,,,,,,,,,,,,,,,,,
2025-06-03,,,,,,,,,,365.21734619140625,,,,,,,,,,,,,,,,,,,
2025-06-04,,,,,,,,,,367.3536071777344,,,,,,,,,,,,,,,,,,,
2025-06-05,,,,,,,,,,366.1257629394531,,,,,,,,,,,,,,,,,,,
2025-06-06,,,,,,,,,,369.5697021484375,,,,,,,,,,,,,,,,,,,
2025-06-09,,,,,,,,,,366.0159606933594,,,,,,,,,,,,,,,,,,,
2025-06-10,,,,,,,,,,370.04888916015625,,,,,,,,,,,,,,,,,,,
2025-06-11,,,,,,,,,,372.654296875,,,,,,,,,,,,,,,,,,,
2025-06-12,,,,,,,,,,370.74761962890625,,,,,,,,,,,,,,,,,,,
2025-06-13,,,,,,,,,,352.230224609375,,,,,,,,,,,,,,,,,,,
2025-06-16,,,,,,,,,,354.8556213378906,,,,,,,,,,,,,,,,,,,
2025-06-17,,,,,,,,,,357.2114562988281,,,,,,,,,,,,,,,,,,,
2025-06-18,,,,,,,,,,339.7821350097656,,,,,,,,,,,,,,,,,,,
2025-06-20,,,,,,,,,,337.9753112792969,,,,,,,,,,,,,,,,,,,
2025-06-23,,,,,,,,,,343.1462097167969,,,,,,,,,,,,,,,,,,,
2025-06-24,,,,,,,,,,351.0123596191406,,,,,,,,,,,,,,,,,,,
2025-06-25,,,,,,,,,,344.653564453125,,,,,,,,,,,,,,,,,,,
2025-06-26,,,,,,,,,,345.4222106933594,,,,,,,,,,,,,,,,,,,
2025-06-27,,,,,,,,,,347.9976501464844,,,,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,354.4263610839844,,,,,,,,,,,,,,,,,,,
2025-07-01,,,,,,,,,,354.8456115722656,,,,,,,,,,,,,,,,,,,
2025-07-02,,,,,,,,,,353.5978088378906,,,,,,,,,,,,,,,,,,,
2025-07-03,,,,,,,,,,358.2296447753906,,,,,,,,,,,,,,,,,,,
2025-07-07,,,,,,,,,,356.0135803222656,,,,,,,,,,,,,,,,,,,
2025-07-08,,,,,,,,,,353.9272155761719,,,,,,,,,,,,,,,,,,,
2025-07-09,,,,,,,,,,357.1316223144531,,,,,,,,,,,,,,,,,,,
2025-07-10,,,,,,,,,,355.2549133300781,,,,,,,,,,,,,,,,,,,
2025-07-11,,,,,,,,,,347.31884765625,,,,,,,,,,,,,,,,,,,
2025-07-14,,,,,,,,,,349.88433837890625,,,,,,,,,,,,,,,,,,,
2025-07-15,,,,,,,,,,346.41046142578125,,,,,,,,,,,,,,,,,,,
2025-07-16,,,,,,,,,,349.285400390625,,,,,,,,,,,,,,,,,,,
2025-07-17,,,,,,,,,,349.195556640625,,,,,,,,,,,,,,,,,,,
2025-07-18,,,,,,,,,,348.4368896484375,,,,,,,,,,,,,,,,,,,
2025-07-21,,,,,,,,,,350.3235778808594,,,,,,,,,,,,,,,,,,,
2025-07-22,,,,,,,,,,351.241943359375,,,,,,,,,,,,,,,,,,,
2025-07-23,,,,,,,,,,354.66595458984375,,,,,,,,,,,,,,,,,,,
2025-07-24,,,,,,,,,,353.3482666015625,,,,,,,,,,,,,,,,,,,
2025-07-25,,,,,,,,,,356.4128723144531,,,,,,,,,,,,,,,,,,,
2025-07-28,,,,,,,,,,354.8456115722656,,,,,,,,,,,,,,,,,,,
2025-07-29,,,,,,,,,,350.6729736328125,,,,,,,,,,,,,,,,,,,
2025-07-30,,,,,,,,,,350.29364013671875,,,,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,344.8631896972656,,,,,,,,,,,,,,,,,,,
2025-08-01,,,,,,,,,,338.7539367675781,,,,,,,,,,,,,,,,,,,
2025-08-04,,,,,,,,,,341.54901123046875,,,,,,,,,,,,,,,,,,,
2025-08-05,,,,,,,,,,336.8373107910156,,,,,,,,,,,,,,,,,,,
2025-08-06,,,,,,,,,,339.14324951171875,,,,,,,,,,,,,,,,,,,
2025-08-07,,,,,,,,,,331.5066833496094,,,,,,,,,,,,,,,,,,,
2025-08-08,,,,,,,,,,336.1884460449219,,,,,,,,,,,,,,,,,,,
2025-08-11,,,,,,,,,,335.30999755859375,,,,,,,,,,,,,,,,,,,
2025-08-12,,,,,,,,,,336.739990234375,,,,,,,,,,,,,,,,,,,
2025-08-13,,,,,,,,,,342.54998779296875,,,,,,,,,,,,,,,,,,,
2025-08-14,,,,,,,,,,345.489990234375,,,,,,,,,,,,,,,,,,,
2025-08-15,,,,,,,,,,344.4700012207031,,,,,,,,,,,,,,,,,,,
2025-08-18,,,,,,,,,,342.739990234375,,,,,,,,,,,,,,,,,,,
2025-08-19,,,,,,,,,,342.45001220703125,,,,,,,,,,,,,,,,,,,
2025-08-20,,,,,,,,,,343.92999267578125,,,,,,,,,,,,,,,,,,,
2025-08-21,,,,,,,,,,343.69000244140625,,,,,,,,,,,,,,,,,,,
2025-08-22,,,,,,,,,,350.0400085449219,,,,,,,,,,,,,,,,,,,
2025-08-25,,,,,,,,,,348.82000732421875,,,,,,,,,,,,,,,,,,,
2025-08-26,,,,,,,,,,351.17999267578125,,,,,,,,,,,,,,,,,,,
2025-08-27,,,,,,,,,,350.3500061035156,,,,,,,,,,,,,,,,,,,
2025-08-28,,,,,,,,,,349.8599853515625,,,,,,,,,,,,,,,,,,,
2025-08-29,,,,,,,,,,351.7799987792969,,,,,,,,,,,,,,,,,,,
2025-09-02,,,,,,,,,,350.07000732421875,,,,,,,,,,,,,,,,,,,
2025-09-03,,,,,,,,,,350.8699951171875,,,,,,,,,,,,,,,,,,,
2025-09-04,,,,,,,,,,350.989990234375,,,,,,,,,,,,,,,,,,,
2025-09-05,,,,,,,,,,343.2200012207031,,,,,,,,,,,,,,,,,,,
2025-09-08,,,,,,,,,,342.29998779296875,,,,,,,,,,,,,,,,,,,
2025-09-09,,,,,,,,,,343.989990234375,,,,,,,,,,,,,,,,,,,
2025-09-10,,,,,,,,,,338.1199951171875,,,,,,,,,,,,,,,,,,,
2025-09-11,,,,,,,,,,343.489990234375,,,,,,,,,,,,,,,,,,,
2025-09-12,,,,,,,,,,339.42999267578125,,,,,,,,,,,,,,,,,,,
2025-09-15,,,,,,,,,,339.04998779296875,,,,,,,,,,,,,,,,,,,
2025-09-16,,,,,,,,,,340.0299987792969,,,,,,,,,,,,,,,,,,,
2025-09-17,,,,,,,,,,346.20001220703125,,,,,,,,,,,,,,,,,,,
2025-09-18,,,,,,,,,,338.17999267578125,,,,,,,,,,,,,,,,,,,
2025-09-19,,,,,,,,,,341.6099853515625,,,,,,,,,,,,,,,,,,,
2025-09-22,,,,,,,,,,344.3599853515625,,,,,,,,,,,,,,,,,,,
2025-09-23,,,,,,,,,,338.70001220703125,,,,,,,,,,,,,,,,,,,
2025-09-24,,,,,,,,,,338.67999267578125,,,,,,,,,,,,,,,,,,,
2025-09-25,,,,,,,,,,334.92999267578125,,,,,,,,,,,,,,,,,,,
2025-09-26,,,,,,,,,,337.3699951171875,,,,,,,,,,,,,,,,,,,
2025-09-29,,,,,,,,,,340.1600036621094,,,,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,341.3800048828125,,,,,,,,,,,,,,,,,,,
2025-10-01,,,,,,,,,,347.8299865722656,,,,,,,,,,,,,,,,,,,
2025-10-02,,,,,,,,,,345.95001220703125,,,,,,,,,,,,,,,,,,,
2025-10-03,,,,,,,,,,349.8399963378906,,,,,,,,,,,,,,,,,,,
2025-10-06,,,,,,,,,,349.2799987792969,,,,,,,,,,,,,,,,,,,
2025-10-07,,,,,,,,,,352.4200134277344,,,,,,,,,,,,,,,,,,,
2025-10-08,,,,,,,,,,351.3599853515625,,,,,,,,,,,,,,,,,,,
2025-10-09,,,,,,,,,,347.0400085449219,,,,,,,,,,,,,,,,,,,
2025-10-10,,,,,,,,,,343.6499938964844,,,,,,,,,,,,,,,,,,,
2025-10-13,,,,,,,,,,343.29998779296875,,,,,,,,,,,,,,,,,,,
2025-10-14,,,,,,,,,,348.3800048828125,,,,,,,,,,,,,,,,,,,
2025-10-15,,,,,,,,,,345.69000244140625,,,,,,,,,,,,,,,,,,,
2025-10-16,,,,,,,,,,335.3999938964844,,,,,,,,,,,,,,,,,,,
2025-10-17,,,,,,,,,,341.8900146484375,,,,,,,,,,,,,,,,,,,
